date,total_value,cash,positions
2024-03-04,124944.62075544732,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-05,118606.22095339892,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-06,121211.04278985715,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-07,118693.04834794752,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-08,124250.00159905845,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-11,122339.79891898906,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-12,124857.79336089871,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-13,122947.59068082932,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-14,124510.48378270426,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-15,123208.07286447515,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-18,124770.96596635011,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-19,121211.04278985715,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-20,121297.87018440577,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-21,119821.80447707942,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-22,116869.67306242675,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-25,119648.14968798221,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-26,121645.1797626002,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-27,121923.22588777186,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-28,123730.52570138763,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-03-29,128318.28676671999,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-04-01,135686.5090837689,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-04-02,134435.30152049643,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
2024-04-03,142776.68527564616,0,"{'159509': {'shares': 0, 'value': 0}, '161116': {'shares': np.float64(177456.77452152845), 'value': np.float64(244712.89206518774)}}"
