切换日期,买入标的,未买标的,买入收益率,未买收益率,选择正确,收益差,买入开始价格,买入结束价格,未买开始价格,未买结束价格,买入原始收益率,未买原始收益率,买入开始日期,买入结束日期,未买开始日期,未买结束日期
2024-01-02,黄金,纳指,-3.35%,8.52%,否,-11.87%,0.866,0.837,1.08,1.172,-3.3487297921478087,8.518518518518503,2024-01-02,2024-01-23,2024-01-02,2024-01-23
2024-01-09,黄金,纳指,-0.24%,11.55%,否,-11.79%,0.844,0.842,1.082,1.207,-0.23696682464454666,11.552680221811462,2024-01-09,2024-01-30,2024-01-09,2024-01-30
2024-01-19,黄金,纳指,-0.83%,9.96%,否,-10.78%,0.847,0.84,1.145,1.259,-0.8264462809917328,9.95633187772924,2024-01-19,2024-02-19,2024-01-19,2024-02-19
2024-03-25,黄金,纳指,44.99%,-4.35%,是,49.34%,0.878,1.273,1.378,1.318,44.98861047835989,-4.354136429608113,2024-03-25,2024-04-17,2024-03-25,2024-04-17
2024-05-14,黄金,纳指,1.28%,10.67%,否,-9.38%,0.937,0.949,1.322,1.463,1.2806830309498363,10.66565809379727,2024-05-14,2024-06-04,2024-05-14,2024-06-04
2024-07-16,黄金,纳指,-9.12%,-16.96%,是,7.84%,1.118,1.016,1.698,1.41,-9.123434704830057,-16.96113074204947,2024-07-16,2024-08-06,2024-07-16,2024-08-06
2024-08-27,黄金,纳指,-3.84%,-0.58%,否,-3.26%,1.12,1.077,1.565,1.556,-3.839285714285723,-0.5750798722044648,2024-08-27,2024-09-19,2024-08-27,2024-09-19
2024-09-09,黄金,纳指,2.40%,3.40%,否,-1.00%,1.04,1.065,1.47,1.52,2.4038461538461453,3.401360544217691,2024-09-09,2024-10-09,2024-09-09,2024-10-09
2024-11-18,黄金,纳指,-0.28%,0.92%,否,-1.20%,1.07,1.067,1.528,1.542,-0.2803738317757154,0.9162303664921545,2024-11-18,2024-12-09,2024-11-18,2024-12-09
2024-12-02,黄金,纳指,-0.94%,8.13%,否,-9.07%,1.062,1.052,1.513,1.636,-0.941619585687381,8.129543952412433,2024-12-02,2024-12-23,2024-12-02,2024-12-23
2024-12-19,黄金,纳指,6.11%,0.93%,是,5.18%,1.048,1.112,1.611,1.626,6.106870229007644,0.9310986964618184,2024-12-19,2025-01-10,2024-12-19,2025-01-10
2025-01-15,黄金,纳指,7.96%,0.13%,是,7.83%,1.093,1.18,1.596,1.598,7.959743824336685,0.12531328320801727,2025-01-15,2025-02-13,2025-01-15,2025-02-13
2025-05-13,黄金,纳指,3.93%,5.06%,否,-1.13%,1.398,1.453,1.482,1.557,3.934191702432055,5.060728744939258,2025-05-13,2025-06-04,2025-05-13,2025-06-04
2025-06-18,黄金,纳指,-3.15%,6.87%,否,-10.01%,1.335,1.293,1.558,1.665,-3.146067415730336,6.867779204107838,2025-06-18,2025-07-09,2025-06-18,2025-07-09
2025-06-23,黄金,纳指,-0.45%,9.85%,否,-10.30%,1.321,1.315,1.533,1.684,-0.4542013626040897,9.849967384213954,2025-06-23,2025-07-14,2025-06-23,2025-07-14
2025-09-03,黄金,纳指,7.15%,11.59%,否,-4.44%,1.371,1.469,1.821,2.032,7.148067104303424,11.58704008786382,2025-09-03,2025-09-24,2025-09-03,2025-09-24
2025-09-25,黄金,纳指,9.67%,10.68%,否,-1.01%,1.458,1.599,2.022,2.238,9.670781893004122,10.682492581602387,2025-09-25,2025-10-24,2025-09-25,2025-10-24
2025-10-16,黄金,纳指,-3.21%,5.02%,否,-8.23%,1.652,1.599,2.131,2.238,-3.2082324455205757,5.021116846550933,2025-10-16,2025-10-24,2025-10-16,2025-10-24
