date,net_value,code
2025-09-26,2.262,513500
2025-09-25,2.27,513500
2025-09-24,2.28,513500
2025-09-23,2.288,513500
2025-09-22,2.269,513500
2025-09-19,2.252,513500
2025-09-18,2.241,513500
2025-09-17,2.23,513500
2025-09-16,2.238,513500
2025-09-15,2.229,513500
2025-09-12,2.222,513500
2025-09-11,2.21,513500
2025-09-10,2.207,513500
2025-09-09,2.198,513500
2025-09-08,2.195,513500
2025-09-05,2.204,513500
2025-09-04,2.189,513500
2025-09-03,2.177,513500
2025-09-02,2.187,513500
2025-09-01,2.185,513500
2025-08-29,2.195,513500
2025-08-28,2.194,513500
2025-08-27,2.206,513500
2025-08-26,2.191,513500
2025-08-25,2.2,513500
2025-08-22,2.17,513500
2025-08-21,2.183,513500
2025-08-20,2.185,513500
2025-08-19,2.197,513500
2025-08-18,2.203,513500
2025-08-15,2.217,513500
2025-08-14,2.203,513500
2025-08-13,2.204,513500
2025-08-12,2.187,513500
2025-08-11,2.192,513500
2025-08-08,2.174,513500
2025-08-07,2.174,513500
2025-08-06,2.174,513500
2025-08-05,2.187,513500
2025-08-04,2.148,513500
2025-08-01,2.172,513500
2025-07-31,2.202,513500
2025-07-30,2.18,513500
2025-07-29,2.184,513500
2025-07-28,2.185,513500
2025-07-25,2.164,513500
2025-07-24,2.153,513500
2025-07-23,2.144,513500
2025-07-22,2.136,513500
2025-07-21,2.14,513500
2025-07-18,2.143,513500
2025-07-17,2.131,513500
2025-07-16,2.115,513500
2025-07-15,2.131,513500
2025-07-14,2.107,513500
2025-07-11,2.124,513500
2025-07-10,2.121,513500
2025-07-09,2.113,513500
2025-07-08,2.121,513500
2025-07-07,2.121,513500
2025-07-04,2.125,513500
2025-07-03,2.114,513500
2025-07-02,2.11,513500
2025-07-01,2.096,513500
2025-06-30,2.102,513500
2025-06-27,2.091,513500
2025-06-26,2.071,513500
2025-06-25,2.065,513500
2025-06-24,2.061,513500
2025-06-23,2.025,513500
2025-06-20,2.027,513500
2025-06-19,2.025,513500
2025-06-18,2.035,513500
2025-06-17,2.038,513500
2025-06-16,2.038,513500
2025-06-13,2.023,513500
2025-06-12,2.04,513500
2025-06-11,2.046,513500
2025-06-10,2.036,513500
2025-06-09,2.035,513500
2025-06-06,2.024,513500
2025-06-05,2.025,513500
2025-06-04,2.029,513500
2025-06-03,2.01,513500
2025-05-30,2.004,513500
2025-05-29,2.032,513500
2025-05-28,2.012,513500
2025-05-27,1.997,513500
2025-05-26,1.991,513500
2025-05-23,1.986,513500
2025-05-22,1.989,513500
2025-05-21,2.01,513500
2025-05-20,2.025,513500
2025-05-19,2.006,513500
2025-05-16,2.012,513500
2025-05-15,1.999,513500
2025-05-14,2.013,513500
2025-05-13,1.977,513500
2025-05-12,1.963,513500
2025-05-09,1.942,513500
2025-05-08,1.94,513500
2025-05-07,1.922,513500
2025-05-06,1.918,513500
2025-04-30,1.9,513500
2025-04-29,1.897,513500
2025-04-28,1.901,513500
2025-04-25,1.895,513500
2025-04-24,1.846,513500
2025-04-23,1.855,513500
2025-04-22,1.803,513500
2025-04-21,1.806,513500
2025-04-18,1.829,513500
2025-04-17,1.835,513500
2025-04-16,1.842,513500
2025-04-15,1.865,513500
2025-04-14,1.873,513500
2025-04-11,1.841,513500
2025-04-10,1.885,513500
2025-04-09,1.722,513500
2025-04-08,1.776,513500
2025-04-07,1.708,513500
2025-04-03,1.898,513500
2025-04-02,1.938,513500
2025-04-01,1.937,513500
2025-03-31,1.908,513500
2025-03-28,1.963,513500
2025-03-27,1.983,513500
2025-03-26,2.011,513500
2025-03-25,2.017,513500
2025-03-24,1.999,513500
2025-03-21,1.973,513500
2025-03-20,1.982,513500
2025-03-19,1.933,513500
2025-03-18,1.948,513500
2025-03-17,1.929,513500
2025-03-14,1.93,513500
2025-03-13,1.932,513500
2025-03-12,1.938,513500
2025-03-11,1.949,513500
2025-03-10,1.999,513500
2025-03-07,2.001,513500
2025-03-06,2.024,513500
2025-03-05,2.024,513500
2025-03-04,2.031,513500
2025-03-03,2.069,513500
2025-02-28,2.033,513500
2025-02-27,2.084,513500
2025-02-26,2.091,513500
2025-02-25,2.094,513500
2025-02-24,2.124,513500
2025-02-21,2.155,513500
2025-02-20,2.175,513500
2025-02-19,2.176,513500
2025-02-18,2.185,513500
2025-02-17,2.169,513500
2025-02-14,2.174,513500
2025-02-13,2.172,513500
2025-02-12,2.175,513500
2025-02-11,2.183,513500
2025-02-10,2.186,513500
2025-02-07,2.192,513500
2025-02-06,2.197,513500
2025-02-05,2.192,513500
2025-01-27,2.197,513500
2025-01-24,2.215,513500
2025-01-23,2.205,513500
2025-01-22,2.217,513500
2025-01-21,2.2,513500
2025-01-20,2.2,513500
2025-01-17,2.191,513500
2025-01-16,2.193,513500
2025-01-15,2.158,513500
2025-01-14,2.163,513500
2025-01-13,2.139,513500
2025-01-10,2.173,513500
2025-01-09,2.187,513500
2025-01-08,2.19,513500
2025-01-07,2.193,513500
2025-01-06,2.211,513500
2025-01-03,2.171,513500
2025-01-02,2.182,513500
2024-12-31,2.162,513500
2024-12-30,2.165,513500
2024-12-27,2.191,513500
2024-12-26,2.2,513500
2024-12-25,2.196,513500
2024-12-24,2.186,513500
2024-12-23,2.194,513500
2024-12-20,2.144,513500
2024-12-19,2.158,513500
2024-12-18,2.23,513500
2024-12-17,2.254,513500
2024-12-16,2.274,513500
2024-12-13,2.244,513500
2024-12-12,2.232,513500
2024-12-11,2.227,513500
2024-12-10,2.207,513500
2024-12-09,2.227,513500
2024-12-06,2.228,513500
2024-12-05,2.233,513500
2024-12-04,2.216,513500
2024-12-03,2.217,513500
2024-12-02,2.199,513500
2024-11-29,2.182,513500
2024-11-28,2.178,513500
2024-11-27,2.181,513500
2024-11-26,2.181,513500
2024-11-25,2.178,513500
2024-11-22,2.128,513500
2024-11-21,2.107,513500
2024-11-20,2.111,513500
2024-11-19,2.106,513500
2024-11-18,2.102,513500
2024-11-15,2.087,513500
2024-11-14,2.121,513500
2024-11-13,2.095,513500
2024-11-12,2.112,513500
2024-11-11,2.088,513500
2024-11-08,2.063,513500
2024-11-07,2.046,513500
2024-11-06,2.029,513500
2024-11-05,1.961,513500
2024-11-04,1.963,513500
2024-11-01,1.971,513500
2024-10-31,1.996,513500
2024-10-30,2.019,513500
2024-10-29,2.006,513500
2024-10-28,2.012,513500
2024-10-25,1.991,513500
2024-10-24,1.991,513500
2024-10-23,1.999,513500
2024-10-22,2.006,513500
2024-10-21,2.018,513500
2024-10-18,2.027,513500
2024-10-17,2.045,513500
2024-10-16,2.023,513500
2024-10-15,2.047,513500
2024-10-14,1.988,513500
2024-10-11,1.967,513500
2024-10-10,1.956,513500
2024-10-09,1.925,513500
2024-10-08,1.894,513500
2024-09-30,1.908,513500
2024-09-27,1.92,513500
2024-09-26,1.947,513500
2024-09-25,1.945,513500
2024-09-24,1.96,513500
2024-09-23,1.974,513500
2024-09-20,1.969,513500
2024-09-19,1.965,513500
2024-09-18,1.939,513500
2024-09-13,1.942,513500
2024-09-12,1.931,513500
2024-09-11,1.899,513500
2024-09-10,1.896,513500
2024-09-09,1.905,513500
2024-09-06,1.92,513500
2024-09-05,1.929,513500
2024-09-04,1.92,513500
2024-09-03,1.998,513500
2024-09-02,1.999,513500
2024-08-30,1.978,513500
2024-08-29,1.974,513500
2024-08-28,1.997,513500
2024-08-27,1.977,513500
2024-08-26,1.978,513500
2024-08-23,1.963,513500
2024-08-22,1.972,513500
2024-08-21,1.967,513500
2024-08-20,1.966,513500
2024-08-19,1.942,513500
2024-08-16,1.975,513500
2024-08-15,1.948,513500
2024-08-14,1.921,513500
2024-08-13,1.887,513500
2024-08-12,1.861,513500
2024-08-09,1.835,513500
2024-08-08,1.799,513500
2024-08-07,1.81,513500
2024-08-06,1.804,513500
2024-08-05,1.785,513500
2024-08-02,1.912,513500
2024-08-01,1.971,513500
2024-07-31,1.947,513500
2024-07-30,1.962,513500
2024-07-29,1.972,513500
2024-07-26,1.927,513500
2024-07-25,1.911,513500
2024-07-24,1.968,513500
2024-07-23,1.983,513500
2024-07-22,1.956,513500
2024-07-19,1.98,513500
2024-07-18,2.027,513500
2024-07-17,2.053,513500
2024-07-16,2.027,513500
2024-07-15,2.023,513500
2024-07-12,1.974,513500
2024-07-11,2.003,513500
2024-07-10,1.986,513500
2024-07-09,1.995,513500
2024-07-08,1.999,513500
2024-07-05,1.993,513500
2024-07-04,1.977,513500
2024-07-03,1.999,513500
2024-07-02,1.971,513500
2024-07-01,1.968,513500
2024-06-28,1.971,513500
2024-06-27,1.947,513500
2024-06-26,1.933,513500
2024-06-25,1.907,513500
2024-06-24,1.91,513500
2024-06-21,1.914,513500
2024-06-20,1.921,513500
2024-06-19,1.904,513500
2024-06-18,1.902,513500
2024-06-17,1.893,513500
2024-06-14,1.903,513500
2024-06-13,1.909,513500
2024-06-12,1.892,513500
2024-06-11,1.889,513500
2024-06-07,1.881,513500
2024-06-06,1.873,513500
2024-06-05,1.846,513500
2024-06-04,1.838,513500
2024-06-03,1.835,513500
2024-05-31,1.807,513500
2024-05-30,1.807,513500
2024-05-29,1.829,513500
2024-05-28,1.838,513500
2024-05-27,1.834,513500
2024-05-24,1.818,513500
2024-05-23,1.849,513500
2024-05-22,1.844,513500
2024-05-21,1.835,513500
2024-05-20,1.834,513500
2024-05-17,1.844,513500
2024-05-16,1.85,513500
2024-05-15,1.826,513500
2024-05-14,1.806,513500
2024-05-13,1.807,513500
2024-05-10,1.799,513500
2024-05-09,1.779,513500
2024-05-08,1.784,513500
2024-05-07,1.777,513500
2024-05-06,1.759,513500
2024-04-30,1.758,513500
2024-04-29,1.755,513500
2024-04-26,1.746,513500
2024-04-25,1.74,513500
2024-04-24,1.766,513500
2024-04-23,1.728,513500
2024-04-22,1.715,513500
2024-04-19,1.709,513500
2024-04-18,1.73,513500
2024-04-17,1.734,513500
2024-04-16,1.742,513500
2024-04-15,1.783,513500
2024-04-12,1.803,513500
2024-04-11,1.788,513500
2024-04-10,1.81,513500
2024-04-09,1.813,513500
2024-04-08,1.807,513500
2024-04-03,1.802,513500
2024-04-02,1.842,513500
2024-04-01,1.849,513500
2024-03-29,1.857,513500
2024-03-28,1.868,513500
2024-03-27,1.844,513500
2024-03-26,1.832,513500
2024-03-25,1.824,513500
2024-03-22,1.836,513500
2024-03-21,1.827,513500
2024-03-20,1.79,513500
2024-03-19,1.775,513500
2024-03-18,1.78,513500
2024-03-15,1.775,513500
2024-03-14,1.784,513500
2024-03-13,1.783,513500
2024-03-12,1.788,513500
2024-03-11,1.794,513500
2024-03-08,1.8,513500
2024-03-07,1.776,513500
2024-03-06,1.78,513500
2024-03-05,1.788,513500
2024-03-04,1.795,513500
2024-03-01,1.781,513500
2024-02-29,1.772,513500
2024-02-28,1.783,513500
2024-02-27,1.761,513500
2024-02-26,1.755,513500
2024-02-23,1.766,513500
2024-02-22,1.741,513500
2024-02-21,1.717,513500
2024-02-20,1.731,513500
2024-02-19,1.737,513500
2024-02-08,1.745,513500
2024-02-07,1.701,513500
2024-02-06,1.695,513500
